enzyme,r1.1,r2.1,r3.1,rCutSmart,heat_inac,incu_temp,ligation_efficiencies,recutting_efficiencies,star_activity,star_activity_r1.1,star_activity_r2.1,star_activity_r3.1,star_activity_rCutSmart
MfeI,75,25,10,100,0,37,high,high,False,False,False,False,False
MluCI,100,10,10,100,0,37,high,high,False,False,False,False,False
MluI,25,100,100,100,0,37,high,high,False,False,False,False,False
MlyI,50,50,10,100,65,37,intermediate,intermediate,False,False,False,False,False
MmeI,50,100,50,100,65,37,intermediate,low,False,False,False,False,False
MnlI,75,100,50,100,65,37,intermediate,high,False,False,False,False,False
MscI,25,100,100,100,80,37,high,high,False,False,False,False,False
MseI,75,100,75,100,65,37,high,high,False,False,False,False,False
MslI,50,50,10,100,80,37,high,high,False,False,False,False,False
MspA1I,10,50,10,100,65,37,high,high,False,False,False,False,False
MspI,75,100,50,100,0,37,high,high,False,False,False,False,False
MspJI,10,10,10,100,65,37,nan,nan,True,False,False,False,False
MwoI,10,100,100,100,0,60,high,high,False,False,False,False,False
NaeI,25,25,10,100,0,37,intermediate,high,False,False,False,False,False
NarI,100,100,10,100,65,37,high,high,False,False,False,False,False
Nb.BbvCI,25,100,100,100,80,37,nan,nan,False,False,False,False,False
Nb.BsmI,10,50,100,10,80,65,nan,nan,False,False,False,False,False
Nb.BsrDI,25,100,100,100,80,37,nan,nan,False,False,False,False,False
Nb.BssSI,10,100,100,25,0,37,nan,nan,False,False,False,False,False
Nb.BtsI,75,100,75,100,80,37,nan,nan,False,False,False,False,False
NciI,100,25,10,100,0,37,intermediate,high,False,False,False,False,False
NcoI,100,100,100,100,80,37,high,high,False,False,False,False,False
NcoI,50,100,10,100,80,37,high,high,False,False,False,False,False
NdeI,75,100,100,100,65,37,high,high,False,False,False,False,False
NgoMIV,100,50,10,100,0,37,high,high,True,False,False,False,False
NheI,100,25,10,100,80,37,high,high,False,False,False,False,False
NlaIII,10,10,10,100,65,37,high,high,False,False,False,False,False
NlaIV,10,10,10,100,65,37,high,high,False,False,False,False,False
NmeAIII,10,10,10,100,65,37,high,low,False,False,False,False,False
NotI,10,50,100,25,65,37,high,high,False,False,False,False,False
NotI,25,100,25,100,65,37,high,high,False,False,False,False,False
NruI,0,25,50,100,0,37,high,high,False,False,False,False,False
NsiI,10,75,100,25,65,37,high,high,False,False,False,False,False
NsiI,10,20,10,100,80,37,high,high,False,False,False,False,False
NspI,100,100,10,100,65,37,high,high,False,False,False,False,False
Nt.AlwI,10,100,100,100,80,37,nan,nan,False,False,False,False,False
Nt.BbvCI,50,100,10,100,80,37,nan,nan,False,False,False,False,False
Nt.BsmAI,100,50,10,100,65,37,nan,nan,False,False,False,False,False
Nt.BspQI,10,25,100,10,80,50,nan,nan,False,False,False,False,False
Nt.BstNBI,0,10,100,10,80,55,nan,nan,False,False,False,False,False
Nt.CviPII,10,100,25,100,65,37,nan,nan,False,False,False,False,False
PacI,100,75,10,100,65,37,high,high,False,False,False,False,False
PaeR7I,25,100,10,100,0,37,high,high,False,False,False,False,False
PaqCI,10,100,10,100,65,37,high,high,True,False,False,False,False
PciI,50,75,100,50,80,37,high,high,False,False,False,False,True
PflFI,25,100,25,100,65,37,intermediate,high,False,False,False,False,False
PflMI,0,100,100,50,65,37,intermediate,intermediate,True,False,False,False,False
PI-PspI,10,10,10,10,0,65,high,high,False,False,False,False,False
PI-SceI,10,10,10,10,65,37,high,high,False,False,False,False,False
PleI,25,50,25,100,65,37,intermediate,intermediate,False,False,False,False,False
PluTI,100,25,10,100,65,37,intermediate,high,False,False,False,False,False
PmeI,10,50,10,100,65,37,high,high,False,False,False,False,False
PmlI,100,50,10,100,65,37,high,high,False,False,False,False,False
PpuMI,10,10,10,100,0,37,high,high,False,False,False,False,False
PshAI,25,50,10,100,65,37,high,high,False,False,False,False,False
PsiI,25,50,10,100,65,37,high,high,True,False,False,False,False
PspGI,25,100,50,100,0,75,high,high,True,False,False,False,False
PspOMI,10,10,10,100,65,37,high,high,False,False,False,False,False
PspXI,10,100,25,100,0,37,high,high,False,False,False,False,False
PstI,75,75,100,50,80,37,high,high,False,False,False,False,True
PstI,10,75,50,100,0,37,high,high,False,False,False,False,False
PvuI,25,100,100,100,0,37,high,high,False,False,False,False,False
PvuII,50,100,100,100,0,37,high,high,False,False,False,False,True
PvuII,10,10,10,100,0,37,high,high,False,False,False,False,False
RsaI,25,50,10,100,0,37,high,high,False,False,False,False,False
RsrII,25,75,10,100,65,37,high,high,False,False,False,False,False
SacI,10,50,10,100,65,37,high,high,False,False,False,False,False
SacII,10,100,10,100,65,37,high,high,False,False,False,False,False
SalI,10,10,100,10,65,37,high,high,False,False,False,False,False
SalI,10,100,100,100,65,37,high,high,False,False,False,False,False
SapI,75,50,10,100,65,37,high,high,False,False,False,False,False
Sau3AI,100,50,10,100,65,37,intermediate,high,False,False,False,False,False
Sau96I,50,100,100,100,65,37,high,high,False,False,False,False,False
SbfI,50,25,10,100,80,37,high,high,False,False,False,False,False
ScaI,100,100,10,100,80,37,high,high,False,False,False,False,False
ScrFI,100,100,100,100,65,37,low,high,True,False,False,False,False
SexAI,100,75,50,100,65,37,intermediate,intermediate,True,False,False,False,False
SfaNI,10,75,100,25,65,37,intermediate,high,True,False,False,False,False
SfcI,75,50,25,100,65,37,high,high,True,False,False,False,False
SfiI,25,100,50,100,0,50,high,high,False,False,False,False,False
SfoI,50,100,100,100,0,37,high,high,False,False,False,False,False
SgrAI,100,100,10,100,65,37,high,high,True,False,False,False,False
SmaI,10,10,10,100,65,37,intermediate,high,False,False,False,False,False
SmlI,25,75,25,100,0,55,intermediate,high,False,False,False,False,False
SnaBI,50,50,10,100,80,37,high,high,True,True,False,False,False
SpeI,25,50,10,100,80,37,high,high,False,False,False,False,False
SphI,100,100,50,100,65,37,high,high,True,False,False,False,False
SphI,50,25,10,100,65,37,high,high,False,False,False,False,False
SrfI,10,50,0,100,65,37,high,high,False,False,False,False,False
SspI,25,100,10,100,65,37,high,high,False,False,False,False,False
StuI,50,100,50,100,0,37,high,high,False,False,False,False,False
StyD4I,10,100,100,100,65,37,high,high,False,False,False,False,False
StyI,25,100,25,100,65,37,high,high,False,False,False,False,False
SwaI,10,10,100,10,65,25,intermediate,intermediate,False,False,False,False,False
TaqI,50,100,50,100,0,65,high,high,False,False,False,False,False
TfiI,50,100,100,100,0,65,high,high,False,False,False,False,False
TseI,75,100,100,100,0,65,high,high,True,False,False,False,False
Tsp45I,100,50,10,100,0,65,high,high,False,False,False,False,False
TspMI,50,75,50,100,0,75,high,intermediate,False,True,True,True,False
TspRI,25,50,25,100,0,65,high,high,False,False,False,False,False
Tth111I,25,100,25,100,0,65,intermediate,high,False,False,False,False,False
WarmStart® Nt.BstNBI,0,10,100,25,80,55,high,high,False,False,False,False,False
XbaI,10,100,75,100,65,37,high,high,False,False,False,False,False
XcmI,10,100,25,100,65,37,high,high,True,False,False,False,True
XhoI,75,100,100,100,65,37,intermediate,high,False,False,False,False,False
XmaI,25,50,10,100,65,37,high,high,True,False,False,False,False
XmnI,50,75,10,100,65,37,intermediate,high,False,False,False,False,False
ZraI,100,25,10,100,80,37,high,high,False,False,False,False,False
